StudentID,cohort_term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
302452,1,Single,0,71314,High School,College,With Parent,,3434,,9612,,6421.8,,7000,,,,,,,,,,,,,,,,
297388,1,Single,1172,29897,High School,High School,With Parent,,2307,,10714,,2381.8,,11040,3200,1500,,12451,,1500,,10392,5500,,,7416,,,,
260559,1,Married,12124,0,High School,High School,Off Campus,,,,10714,5500,2000,2000,,,,,,,,,,,,,,,,,
301787,1,Single,0,0,College,High School,Off Campus,,,,,7500,,,10800,,,,8785,,,,9792,,,,463,,,,
290265,1,Married,49851,0,High School,High School,Off Campus,9500,,,,12500,,,,,,,,,,,,,,,,,,,
301745,1,Single,9044,11927,Middle School,Middle School,With Parent,,,,10714,,,,12390,4500,,,11183,,,,,,,,,,,,
292744,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297161,1,Single,0,7873,College,College,With Parent,,,,12738,,,,13540,,,2500,13151,,,3800,13266,,5000,2000,12571,,,,
280697,1,Single,12501,0,High School,High School,On Campus Housing,,,,,,,,,,,,,,,,,,,,,,,,
298252,1,Single,15939,0,High School,High School,On Campus Housing,3500,,,8312,3500,,,8516,,,,,,,,,,,,,,,,
51316,1,Single,66532,0,Middle School,Middle School,Off Campus,10500,,,,10500,,,,,,,,,,,,,,,,,,,
301726,1,Single,44498,0,Middle School,Middle School,Off Campus,3500,,,2025,5500,,,3600,,,,,,,,,,,,,,,,
294670,1,Divorced,0,0,Unknown,Unknown,Off Campus,,,,2775,,,,,10558,,1000,2823,10208,,,7079.5,,,,,,,,
298578,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302502,1,Single,11476,0,High School,High School,Off Campus,3500,,,8918,5500,,,11790,,,,,,,,,,,,,,,,
303583,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303817,1,Single,0,0,High School,Unknown,Off Campus,12500,,,10714,12500,,,8295,,,,,,,,,,,,,,,,
305119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292345,1,Single,33018,0,High School,College,Off Campus,10500,,,,10500,,,,10500,,,,,,,,,,,,,,,
297146,1,Single,0,55000,College,College,With Parent,,,,5550,,,,,,,,,,,,,,,,,,,,
247693,1,Single,9261,0,Unknown,College,Off Campus,7500,,,,10500,,,7892,7500,,,4412,,,,,,,,,,,,
291758,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258879,1,Single,25282,64431,Unknown,High School,With Parent,7500,,,,11500,,,,10802,,,,,,,,,,,,,,,
304604,1,Single,3759,0,Unknown,Unknown,Off Campus,10500,,,11289,10500,,,8670,10500,,,2822,,,,,,,,,,,,
303606,1,Single,678,95920,College,College,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
301664,1,Single,7314,34347,High School,College,Off Campus,3500,,,5737,3000,,,,,,,,,,,,,,,,,,,
294616,1,Single,0,132240,College,High School,With Parent,7500,,,,7500,,,,10500,,,,,,,,,,,,,,,
300889,1,Single,15272,114686,High School,College,Off Campus,1750,,,,,,,,,,,,,,,,,,,,,,,
282486,1,,,,,,,,,,,,,,,9627,,,,10854,,,,11180,,,,,,,
301625,1,Single,12354,170000,High School,High School,With Parent,,4732,,6146,,6991.8,,6430,,,,,,,,,,,,,,,,
304933,1,Single,24677,0,High School,Middle School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
304249,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276063,1,Single,0,61132,College,College,With Parent,8500,,,,4500,,,,5500,,,3795,4199,,,2865,,,,,,,,
302782,1,Single,0,81035,Middle School,High School,On Campus Housing,3500,,,,,,,,,,,,,,,,,,,,,,,
278173,1,Single,1013,95000,High School,High School,On Campus Housing,26033,,,,26100,,,,,,,,,,,,,,,,,,,
304674,1,Single,21427,0,Middle School,Middle School,Off Campus,7500,,,5550,8500,,,4857,10500,,,8865,8669,,,8207,10500,,,6313,,,,
299844,1,Single,0,26514,High School,High School,On Campus Housing,3500,,,11988,,,,,,,,,,,,,,,,,,,,
303301,1,Single,0,60795,High School,College,With Parent,3899,,,900,,,,,,,,,,,,,,,,,,,,
297794,1,Single,5074,12602,High School,Middle School,With Parent,,,,11588,,,,11640,2000,,3300,8761,,,2400,12716,,,,,,,,
299434,1,Single,0,58256,High School,College,On Campus Housing,1750,5000,2000,4532,,5000,,,,,,,,,,,,,,,,,,
86489,1,Single,0,0,Unknown,Unknown,With Parent,,,,6369,,,,,,,,,,,,,,,,,,,,
297844,1,Single,0,0,High School,High School,With Parent,,,2300,10714,1000,,2000,6150,,,,,,,,,,,,,,,,
303769,1,Single,0,39343,High School,College,With Parent,10362,,,7924,5589,,,8750,6500,,,5167,3250,,,2858,17502,,,5775,8824,,,12373
294946,1,Single,0,29793,High School,High School,Off Campus,,,2000,11988,,,2800,10990,,,2000,11033,,,,12116,3000,,,8294,,,,
296831,1,Single,0,27422,College,College,With Parent,,,,8969,,,,2082,,,,,,,,,,,,,,,,
300544,1,Single,0,28357,High School,College,With Parent,,,3000,10074,,,2000,10990,,,2000,10533,,,3000,11044,,,2000,8616,,,2000,3133
301696,1,Single,0,3672,High School,High School,With Parent,,,,11588,5500,,,5550,4500,,,10335,5500,,,6330,5500,,,5725,12500,,,5815
299570,1,Single,0,72167,High School,High School,With Parent,3500,,,,3500,,,,4500,,,2195,5500,,,1480,5500,,2000,2025,3250,,,483
300407,1,Single,0,101029,Middle School,College,With Parent,9232,4759,,,11500,5316,,,,,,,,,,,,,,,,,,
43733,1,Single,0,13735,,College,On Campus Housing,3500,,,12863,5500,,,11790,6000,,,4234,6500,,,13266,11000,,,6925,2000,,,6912
298780,1,Single,0,49916,College,College,With Parent,5500,,2800,7518,9500,,,,6500,,,2495,12500,,,,12500,,,,5000,,,
304741,1,Single,0,46678,High School,College,With Parent,9500,,,4532,9500,,,4000,6500,,,9085,5500,,,7484,5000,,,7289,5000,,,1433
302271,1,Single,0,26553,High School,High School,On Campus Housing,337,1000,,7026.07,,,,,,,,,,,,,,,,,,,,
298102,1,Single,0,43111,Middle School,High School,With Parent,2200,,,10614,582,,,9990,,,,3791,,,,,,,,,,,,
297572,1,Single,0,52140,High School,High School,On Campus Housing,12000,,,6418,,,,,,,,,,,,,,,,,,,,
302398,1,Single,0,0,Unknown,High School,On Campus Housing,12000,,,10714,5500,,,11640,8500,,,11183,12500,,,11894,15000,,,9198,,,,
303669,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299485,1,Single,0,43995,High School,High School,On Campus Housing,2400,,,11014,3500,,,9325,,,,,,,,,,,,,,,,
302870,1,Single,3404,15017,Middle School,High School,With Parent,,,,11588,,,,10002,,,,5645,,,2000,12716,,,,12255,,,,
302639,1,Divorced,14614,0,Middle School,College,Off Campus,5500,,,10714,5500,,,3120,,,,,,,,,,,,,,,,
300964,1,Single,0,22486,College,College,With Parent,,,,11588,,,,11790,,,,11183,,,,11244,2200,,,,,,,
301202,1,Single,4310,0,Middle School,Middle School,On Campus Housing,7500,,,5550,140,,,2500,,,,,,,,,,,,,2250,,,
302633,1,Single,0,30002,Unknown,High School,Off Campus,,,,10364,,,,,,,,,,,,,,,,,,,,
301530,1,Single,0,51310,Unknown,College,With Parent,,,,9764,,,,10090,6500,,,9085,5500,,,7684,,,,807,4875,,,533
304097,1,Single,23239,0,Unknown,Unknown,Off Campus,4478,,,9874,,,,,,,,,,,,,,,,,,,,
298929,1,Single,3218,21910,High School,High School,With Parent,,,,12738,,,,12940,,,,8836,,,,11542,,,,10357,,,,
299017,1,Single,0,13916,High School,High School,Off Campus,,,,12738,,,,10100,,,,6876,,,,,,,,,,,,
305422,1,Single,3074,0,Middle School,Middle School,Off Campus,3750,,,11588,8300,,,4908,10500,,,3995,3000,,,11042,,,,,,,,
267051,1,Married,22854,0,College,College,Off Campus,3500,,,2600,5500,,,1600,2750,,,,,,,,,,,,,,,
304879,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304290,1,Divorced,31200,0,High School,High School,Off Campus,12500,,,5400,5250,,,1850,,,,,,,,,,,,,,,,
28567,1,Single,25094,0,Middle School,Middle School,Off Campus,3750,,,,,,,,,,,,,,,,,,,,,,,
302550,1,Single,0,0,High School,High School,Off Campus,9500,,,10714,8500,,,3120,12100,,,3178,,,,,,,,,,,,
301600,1,Single,21735,0,High School,College,With Parent,6500,,,600,10500,,,1500,10500,,,,10500,,,1860,,,,,,,,
299962,1,Single,0,0,Middle School,High School,Off Campus,3200,,,11114,7500,,,2600,10500,,,2595,10500,,,,5250,,,,,,,
300561,1,Divorced,36320,0,Unknown,Unknown,Off Campus,3750,,,2500,12500,,,5550,12500,,,,8124,,,4970,,,,,,,,
285848,1,Married,116846,0,High School,College,Off Campus,35000,,,,,,,,,,,,,,,,,,,,,,,
302176,1,,,,,,,10000,,,,18896,,,,,,,,,,,,,,,,,,,
301803,1,Single,1528,0,College,High School,Off Campus,54057,,,,,,,,,,,,,,,,,,,,,,,
302756,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300304,1,Single,0,40472,Unknown,High School,On Campus Housing,4500,,,3150,4500,,,5400,5500,,,4940,4500,,,10844,7500,,,5025,12500,,,7379
301067,1,Married,69036,0,Middle School,High School,Off Campus,,10021,,,,10421.8,,,,1200,,,,,,,,,,,,,,
297371,1,Single,0,0,Unknown,College,With Parent,,,,11588,,,,12390,,,,,,,,,,,,,,,,
273211,1,Single,0,0,College,High School,On Campus Housing,9283,,,8132,10500,,,11790,2500,,,3178,,,,,,,,,,,,
302772,1,Single,2069,73993,College,College,With Parent,7000,,,,12400,,,,7500,,,,,,,,,,,,,,,
280023,1,Single,10033,19467,Unknown,High School,With Parent,7453,,,7362,10500,,,2536,6250,,,,,,,,,,,,,,,
300412,1,Single,3602,65801,High School,High School,On Campus Housing,11500,,745,1000,,,,,,,,,,,,,,,,,,,,
299369,1,Single,0,0,College,High School,With Parent,,,,5550,,,,5550,,,,5645,,,,6330,,,,,,,,
303260,1,Separated,6710,0,Unknown,Unknown,Off Campus,,,,346.5,,,,,,,,,,,,,,,,,,,,
299997,1,Single,2575,31200,College,College,With Parent,1750,,,7156.66,,,,4181.11,,,,,,,,,,,,,,,,
300569,1,Married,27607,0,High School,High School,Off Campus,32500,1000,,,,,,,,,,,,,,,,,,,,,,
299363,1,Married,50735,0,Unknown,Unknown,Off Campus,7500,,,,10500,,,,10500,,,,,,,,,,,,,,,
300635,1,Single,32729,0,High School,College,Off Campus,52218,,,,,,,,,,,,,,,,,,,,,,,
299788,1,Single,0,12871,High School,High School,With Parent,,,,11588,,,,,,,,,5500,,,12066,6500,,,11371,7500,,,8541
302134,1,Single,0,34313,,College,With Parent,,,,11588,4500,,2000,8750,6500,,1900,7481,5500,,,8992,2750,,,4804,,,,
301723,1,Single,6363,67267,College,College,With Parent,7500,,,,3299,,,11790,2799,,,5592,,,,,,,,,,,,
283028,1,Married,21539,0,College,College,Off Campus,7500,,,3506,,,,11790,5250,,,,,,,,,,,,,,,
294970,1,Married,79480,0,High School,High School,Off Campus,3500,,,,8561,,,,5500,,,,5500,,,,2750,,,,,,,
301192,1,,,,,,,,,,,5500,,,,12500,,,,10500,,,,,,,,,,,
303346,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304587,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305182,1,Single,36805,0,Unknown,Unknown,Off Campus,10500,,,,,,,,10500,,,3933,,,,,,,,,,,,
305459,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303053,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302328,1,Single,9830,0,College,College,With Parent,9500,,,9524,10500,1000,,2800,,,,,,,,,,,,,,,,
301676,1,Single,0,23614,High School,High School,On Campus Housing,,,,10714,,,,,,,,,,,,,,,,,,,,
300895,1,Single,0,14961,High School,Middle School,On Campus Housing,12000,,,11588,12000,,,11790,11000,,2000,11783,9500,,2000,12116,12500,,,8548,5873,,,5965
297560,1,Single,54015,0,Middle School,High School,Off Campus,7500,5000,,,10500,5000,,,,,,,,,,,,,,,,,,
299456,1,Single,0,61756,High School,High School,With Parent,,,,1200,,,,7452,,,,7681,5500,,,4208,5500,,,2525,,,,
303183,1,Single,0,42955,High School,High School,On Campus Housing,2750,2000,,1300,,,,,,,,,,,,,,,,,,,,
298767,1,Single,0,24098,High School,College,On Campus Housing,7230,,420,11588,,,,,,,,,,,,,,,,,,,,
297755,1,Single,0,23990,High School,High School,On Campus Housing,9500,,2000,11588,9500,,3000,11740,6500,,,12601,4852,,,5680,7500,,,10107,5148,,,4639
297083,1,Single,0,69287,,College,On Campus Housing,3500,,,8124,9500,,,,5500,,1109,,3250,,1055,,,,,,,,,
303435,1,Single,0,23688,High School,High School,Off Campus,1750,,,2776,,,,11040,,,,706,,,,,,,,,,,,
305281,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299668,1,Single,0,44528,Unknown,College,Off Campus,12500,,,3100,10500,,,1500,,,,,10500,,,5730,7500,,,12255,,,,
301313,1,Separated,48088,0,College,High School,Off Campus,9500,5000,,2200,12500,5000,,5550,6749,,,3526,,,,,,,,,,,,
303775,1,Single,18410,0,High School,High School,Off Campus,10500,,,5872,9258,,,11790,12500,500,,12601,8503,,,2865,,,,,,,,
300221,1,Single,0,28040,Unknown,High School,With Parent,5500,,,10714,3500,,,9690,4500,,,10935,5500,,,4483,,,,,,,,
304227,1,Single,0,40158,Unknown,Middle School,Off Campus,2250,,,2000,,,,,,,,,,,,,,,,,,,,
301813,1,Married,23078,0,College,College,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
301624,1,Single,0,0,High School,High School,Off Campus,875,,,8132,6800,,,11040,,,,,,,,,,,,,,,,
299713,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293485,1,Single,20504,0,Middle School,Middle School,Off Campus,,1000,,11061,6500,,,4650,,,,,,,,,,,,,,,,
298859,1,Single,0,16450,Unknown,Unknown,On Campus Housing,9500,,,13263,3500,,,12940,,,,,,,,,,,,,,,,
299006,1,Single,0,0,Unknown,High School,On Campus Housing,3500,,3000,11988,2750,,,5895,,,,,,,,,,,,,,,,
301422,1,Single,16639,0,High School,College,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
300292,1,Single,1668,39638,Middle School,High School,With Parent,,,,4062,,,,,,,,,,,,,,,,,,,,
299959,1,Single,0,45890,College,College,With Parent,3500,,,4163,,,,,,,,,,,,,,,,,,,,
300608,1,Single,0,37785,Unknown,College,With Parent,,,,2584,,,,,,,,,,,,,,,,,,,,
304552,1,Divorced,21122,0,High School,High School,Off Campus,3500,,,4857,,,,9402,2854,,,3528,4513,,,716,,,,,,,,
300586,1,Single,17267,0,High School,High School,With Parent,24500,,,,,,,,,,,,,,,,,,,,,,,
303907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299408,1,Single,0,29667,Unknown,Unknown,Off Campus,,,,11114,,,,6070,,,,,2250,,,5647,,,,10857,11399,,,7239
268673,1,Single,0,79031,Unknown,Unknown,Off Campus,3500,,,,3500,,,,,,,,,,,,,,,,,,,
301562,1,Single,0,39944,College,High School,On Campus Housing,3500,,,11588,4500,,,8692,,,,,3250,,,4298,,,,,,,,
277866,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303428,1,Single,17850,92728,High School,College,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
304525,1,Single,124,0,College,College,Off Campus,,,,11588,,,,,,,,,,,,,,,,,,,,
302917,1,Single,0,92002,High School,High School,With Parent,5500,,,750,,,,,,,,,,,,,,,,,,,,
304854,1,Single,0,9365,High School,Middle School,Off Campus,,,,2082,,,,,,,,,,,,,,,,,,,,
303599,1,,,,,,,,,,,8500,,,,,,,,10500,,,,12500,,,,8842,,,
264697,1,Single,11713,10126,High School,High School,With Parent,3000,,,10824,2750,,,6669,,,,,,,,,,,,,,,,
303565,1,Single,0,87501,High School,High School,Off Campus,40000,,,,,,,,,,,,,,,,,,,,,,,
304246,1,Single,59043,0,High School,College,With Parent,7500,,,,,,,,,,,,,,,,,,,,,,,
304279,1,Single,17959,0,High School,Unknown,With Parent,3500,,,8382,5500,,,5550,2750,,,2823,,,,,,,,,,,,
303589,1,Single,0,0,High School,High School,Off Campus,3500,,,5550,,,,,,,,,,,,,,,,,,,,
299396,1,Single,0,41791,High School,High School,On Campus Housing,12400,,,9824,,,,,,,,,,,,,,,,,,,,
299020,1,Single,0,22606,College,College,With Parent,5500,,,12738,,,,12940,6500,,,13151,7500,,,12094,5500,,,7658,,,,
301684,1,Single,0,42799,High School,High School,On Campus Housing,,,,5794,,,,,,,,,,,,,,,,,,,,
293205,1,Single,16143,0,College,High School,With Parent,9500,,,3100,5250,,,5100,,,,,,,,,,,,,,,,
303305,1,Single,32168,0,Unknown,Unknown,Off Campus,7500,,,,10500,,,,10500,,,,,,,,,,,,,,,
268879,1,Single,3298,32080,Unknown,High School,Off Campus,,5000,,7518,5500,5000,,5194,,,,,12500,,,,12500,,,,,,,
298895,1,Single,0,25683,College,High School,With Parent,3500,,,5550,9500,,,5500,,,,5143,10500,,,2180,,,,,,,,
299243,1,Single,5448,12589,College,High School,On Campus Housing,12000,,2142,12988,6000,,1000,2775,,,,,6500,,,6255,5500,,,5775,6700,,,5089
301078,1,Married,65077,0,High School,High School,Off Campus,3750,,,1088,,,,,,,,,,,,,,,,,,,,
301377,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301653,1,Single,11884,14251,High School,High School,On Campus Housing,3500,,,9674,7500,,,4813,2750,,,,,,,,,,,,,,,
299272,1,Single,0,12372,High School,Unknown,Off Campus,,,,11588,,,,6195,,,,,,,,,,,,,,,,
297218,1,Single,0,0,College,Middle School,With Parent,,5000,,11988,,2000,,12390,,2000,,12001,,2000,,12116,5500,,,8293,,,,
299086,1,Single,489,15810,College,High School,Off Campus,3500,,,5550,3500,,,5550,2350,,3000,12451,,,,12066,,,,12255,,,,
299972,1,Single,0,56611,High School,Middle School,Off Campus,3560,,,3731,,,,,,,,,,,,,,,,,,,,
303358,1,Single,11967,112784,High School,High School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
297892,1,Single,0,0,Middle School,High School,With Parent,1750,,,2775,,,,,,,,,,,,,,,,,,,,
301309,1,Single,0,13048,High School,Middle School,With Parent,3500,,,4163,3500,,,11790,4500,,,10335,2250,,,7970,7500,,,6708,7500,,,5815
296633,1,Single,13693,0,College,High School,With Parent,7500,,,5112,,,,694,,,,,,,,,,,,,,,,
302533,1,Single,0,34666,Unknown,College,With Parent,5500,,,7924,5500,,,3900,6500,,,8885,5500,,,4680,17500,,,4025,,,,
300002,1,Single,0,31089,College,College,With Parent,,,,5794,,,,,,,,,,,,,,,,,,,,
294406,1,Single,0,25811,Unknown,Unknown,On Campus Housing,8000,,,12988,12000,,2000,10850,13000,,1290,10685,13000,,,9792,12500,,,12571,9000,,,12823
303601,1,Single,54031,0,College,College,Off Campus,10500,,,,11764,,,,10500,,,,,,,,,,,,,,,
302183,1,Married,80594,0,Middle School,College,Off Campus,8500,5000,,600,12500,7340,,4100,10500,2000,,3897,,,,,,,,,,,,
270506,1,Single,0,48281,High School,High School,Off Campus,,,,1900,,,,,,,,,,,,,,,,,,,,
298325,1,Single,0,161373,High School,College,With Parent,3500,,,,,,,,,,,,,,,,,,,,,,,
298033,1,Single,12580,17508,College,Middle School,With Parent,1700,,,9532,3500,,,5550,,,,13601,,,,13016,,,,,,,,
293611,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304263,1,Single,9110,73176,High School,College,With Parent,,3000,,,,,,,,,,,,,,,,,,,,,,
301326,1,Single,29209,124000,High School,High School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
281368,1,Single,0,130000,College,College,With Parent,5500,,,,,,,,,,,,,,,10442,,,,,,,,
304905,1,Single,0,52506,College,College,Off Campus,9500,,,5032,9500,2000,2000,1816,10500,,,5645,12500,,,5580,12500,,,3625,,,,
300290,1,Single,0,26612,College,High School,With Parent,,,,9674,,,,,,,,4341,,,,,,,,,,,,
299495,1,Single,0,87230,College,College,With Parent,,6000,,,,6000,,,,6000,,,,6000,,,,,,,,,,
302116,1,Separated,0,0,College,Middle School,Off Campus,12500,,,2400,12500,,,6240,12500,,,,11100,,,,,,,,,,,
302551,1,Married,141564,0,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
299115,1,,,,,,,,,,,,,,,,,,5645,,,,1145,,,,,,,,
302819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304823,1,Single,30972,0,College,College,With Parent,10500,,,,12500,,,,12500,,,,,,,,,,,,,,,
305310,1,Single,25308,0,College,High School,Off Campus,9500,,,,5250,,,,,,,,,,,,,,,,,,,
294719,1,Single,2000,0,College,College,Off Campus,9500,,,5550,8000,,,4163,12500,,,5645,,,,,,,,,,,,
302717,1,Single,0,24859,High School,Unknown,With Parent,,5550,,5950,,3469.5,,4050,6500,,,12001,,,,,,,,,,,,
305260,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304298,1,Single,4000,90000,High School,High School,On Campus Housing,15500,,,,10500,,,,12500,,,,,1000,,,,,,,,,,
72295,1,Married,71507,0,College,College,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
300240,1,Single,0,77268,High School,College,On Campus Housing,9500,,2000,,,,,,,,,,,,,,,,,,,,,
301382,1,Single,38512,0,Unknown,Middle School,Off Campus,9500,3000,,4700,,,,,,,,,,,,,,,,,,,,
258799,1,Single,16173,55611,College,College,Off Campus,2750,,,,6500,,,,12500,,,,,,,,,,,,,,,
299293,1,Single,4764,8588,Unknown,Middle School,On Campus Housing,9400,,2000,12988,,,,,,,,,,,,,,,,,,,,
