"","cohort_term","Marital.Status","Adjusted.Gross.Income","Parent.Adjusted.Gross.Income","Father.s.Highest.Grade.Level","Mother.s.Highest.Grade.Level","Housing","Total_loan","Total_grant","Total_scholarship","Total_WorkStudy","Cohort","CohortTerm","RegistrationDate","Hispanic","Black","NativeHawaiian","White","HSDipYr","HSGPAUnwtd","EnrollmentStatus","NumColCredAttemptTransfer","NumColCredAcceptTransfer","CumLoanAtEntry","HighDeg","MathPlacement","EngPlacement","GatewayMathStatus","GatewayEnglishStatus","CompleteDevMath","CompleteDevEnglish","Major1","Complete1","CompleteCIP1","TermGPA","CumGPA","Dropout"
"21","1","Married",79480,0,"High School","High School","Off Campus",25811,0,0,0,"2011-12","1",20110629,0,0,0,0,2016,1,"2",64,66,1,"2","0","0","0","0","-2","-2",46.3467555555556,0.888888888888889,4.01556666666667,3.35888888888889,3.35888888888889,"0"
"22","1","Single",1,1,"High School","High School","Off Campus",28500,0,0,0,"2011-12","1",20110502,1,0,0,0,2016,1,"2",134,66,1,"0","0","0","1","0","-2","-2",52.0201,0.727272727272727,2.91091818181818,3.27909090909091,3.27909090909091,"0"
"23","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110802,1,0,0,0,2010,3.2,"1",-2,-2,-2,"0","0","0","1","1","-2","-2",0,0,-2,2.8025,2.8025,"1"
"24","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110817,1,0,0,0,2016,1,"2",74,33,1,"2","0","0","0","0","-2","-2",51.3801,0,-2,3.15,3.15,"1"
"25","1","Single",36805,0,"Unknown","Unknown","Off Campus",21000,3933,0,0,"2011-12","1",20110906,0,0,0,1,2016,1,"2",0,0,1,"2","0","0","0","0","-2","-2",37.2429285714286,1.14285714285714,5.7343,3.29142857142857,3.29142857142857,"0"
"26","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110907,1,0,0,0,2016,1,"1",-2,-2,-2,"0","0","0","0","0","-2","-2",0,0,-2,1.65,1.65,"1"
"27","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110627,1,0,0,0,2016,1,"2",75,70,1,"2","0","0","0","0","-2","-2",42.0101,0,-2,2.4,2.4,"1"
"28","1","Single",9830,0,"College","College","With Parent",20000,12324,1000,0,"2011-12","1",20110523,0,0,0,1,2016,1,"2",0,0,1,"2","0","0","0","0","-2","-2",37.65414,1.4,9.20202,3.656,3.656,"0"
"29","1","Single",0,23614,"High School","High School","On Campus Housing",0,10714,0,0,"2011-12","1",20110816,1,0,0,0,2010,2.2,"1",-2,-2,-2,"0","1","1","0","0","0","0.5",9.0101,0,-2,0.495,0.495,"1"
"30","1","Single",0,14961,"High School","Middle School","On Campus Housing",62873,61790,0,4000,"2011-12","1",20110614,1,0,0,0,2011,3.38,"1",-2,-2,-2,"0","1","1","0","0","0.0714285714285714","0.214285714285714",43.9313857142857,0,-2,3.05214285714286,3.05214285714286,"0"
"31","1","Single",0,61756,"High School","High School","With Parent",11000,23066,0,0,"2011-12","1",20110427,1,0,0,0,2011,3.1,"1",-2,-2,-2,"0","1","1","0","0","0.1","0.3",52.0261,0.8,3.40201,2.756,2.756,"0"
"32","1","Single",0,42955,"High School","High School","On Campus Housing",2750,1300,2000,0,"2011-12","1",20110616,1,0,0,0,2010,3.66,"1",-2,-2,-2,"0","0","1","1","0","-2","0",52.1401,0,-2,3.14,3.14,"1"
"33","1","Single",0,24098,"High School","College","On Campus Housing",7230,11588,0,420,"2011-12","1",20110622,0,1,0,0,2016,2.5,"1",-2,-2,-2,"0","1","1","0","0","0","1",43.0199,0,-2,0,0,"1"
"34","1","Single",0,23990,"High School","High School","On Campus Housing",43000,56355,0,5000,"2011-12","1",20110630,1,0,0,0,2011,2.6,"1",-2,-2,-2,"0","0","1","1","0","-2","0.0769230769230769",20.0115769230769,0,-2,2.09769230769231,2.09769230769231,"0"
"35","1","Single",0,69287,"High School","College","On Campus Housing",21750,8124,0,2164,"2011-12","1",20110601,0,1,0,0,2011,2.45,"1",-2,-2,-2,"0","1","1","0","0","0.428571428571429","0.142857142857143",46.2043857142857,0,-2,2.55,2.55,"1"
"36","1","Single",0,23688,"High School","High School","Off Campus",1750,14522,0,0,"2011-12","1",20110726,0,0,0,1,2016,1,"2",61,66,1,"0","0","0","0","0","-2","-2",19.83438,0,-2,3.052,3.052,"1"
"37","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110825,0,0,0,0,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",0,0,-2,3.7,3.7,"1"
"38","1","Separated",48088,0,"College","High School","Off Campus",28749,11276,10000,0,"2011-12","1",20110620,1,0,0,0,2016,1,"2",64,64,1,"2","0","0","0","0","-2","-2",52.0201,0,-2,3.1075,3.1075,"1"
"39","1","Single",18410,0,"High School","High School","Off Campus",40761,33128,500,0,"2011-12","1",20110809,0,1,0,0,2016,1,"2",69,59,1,"2","0","0","0","0","-2","-2",50.0701,0,-2,3.647,3.647,"1"
"40","1","Single",0,28040,"Unknown","High School","With Parent",19000,35822,0,0,"2011-12","1",20110720,1,0,0,0,2011,2.76,"1",-2,-2,-2,"0","0","1","1","0","-2","0.285714285714286",32.6115285714286,0,-2,3.19,3.19,"1"
"41","1","Single",0,40158,"Unknown","Middle School","Off Campus",2250,2000,0,0,"2011-12","1",20110808,0,1,0,0,2016,1,"2",61,48,1,"0","0","0","0","0","-2","-2",45.1101,0,-2,2.27,2.27,"1"
"42","1","Married",23078,0,"College","College","Off Campus",0,0,0,0,"2011-12","1",20110808,0,0,0,1,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2432333333333,2.66666666666667,15.7966333333333,3.40666666666667,3.40666666666667,"0"
"43","1","Single",0,0,"High School","High School","Off Campus",7675,19172,0,0,"2011-12","1",20110808,0,0,0,1,2016,1,"2",65,65,1,"2","0","0","0","0","-2","-2",45.1101,1.4,7.42202,3.336,3.336,"0"
"44","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110825,0,0,0,1,2016,1,"2",0,0,1,"2","0","0","0","0","-2","-2",52.0401,1.33333333333333,7.00335,3.77166666666667,3.77166666666667,"0"
"45","1","Single",20504,0,"Middle School","Middle School","Off Campus",6500,15711,1000,0,"2011-12","1",20110524,1,0,0,0,2016,1,"2",80,66,1,"2","0","0","0","0","-2","-2",38.8101,0,-2,3.62,3.62,"1"
"46","1","Single",0,16450,"Unknown","Unknown","On Campus Housing",13000,26203,0,0,"2011-12","1",20110613,0,1,0,0,2011,1,"1",-2,-2,-2,"0","1","1","0","0","0.25","0.5",23.0101,0,-2,1.7925,1.7925,"1"
"47","1","Single",0,0,"Unknown","High School","On Campus Housing",6250,17883,0,3000,"2011-12","1",20110517,0,1,0,0,2011,1,"1",-2,-2,-2,"0","1","1","0","0","0.333333333333333","0.333333333333333",9.0101,0,-2,2.59,2.59,"1"
"48","1","Single",16639,0,"High School","College","Off Campus",0,0,0,0,"2011-12","1",20110414,1,0,0,0,2016,1,"2",78,56,1,"0","1","1","0","0","0","1",43.0399,0,-2,0,0,"1"
"49","1","Single",0,45890,"College","College","With Parent",3500,4163,0,0,"2011-12","1",20110518,1,0,0,0,2011,2.8,"1",-2,-2,-2,"0","1","1","0","0","0.5","1",42.0101,0,-2,3.115,3.115,"1"
"50","1","Single",0,37785,"Unknown","College","With Parent",0,2584,0,0,"2011-12","1",20110525,1,0,0,0,2011,2.4,"1",-2,-2,-2,"0","0","1","1","0","-2","1",54.0101,0,-2,0,0,"1"
"51","1","Divorced",21122,0,"High School","High School","Off Campus",10867,18503,0,0,"2011-12","1",20110825,0,0,0,0,2016,1,"2",117,96,1,"2","0","0","0","0","-2","-2",26.0101,0,-2,2.93769230769231,2.93769230769231,"0"
"52","1","Single",17267,0,"High School","High School","With Parent",24500,0,0,0,"2011-12","1",20110728,0,0,0,1,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2799,4,24.69495,3.82,3.82,"0"
"53","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110627,0,0,0,1,2016,1,"2",67,63,1,"2","0","0","0","0","-2","-2",23.0101,0.875,1.1262625,3.09875,3.09875,"0"
"54","1","Single",0,29667,"Unknown","Unknown","Off Campus",13649,40927,0,0,"2011-12","1",20110518,0,1,0,0,2011,3.3,"1",-2,-2,-2,"2","0","1","1","0","-2","0.375",34.30665,0,-2,2.915,2.915,"1"
"55","1","Single",0,39944,"College","High School","On Campus Housing",11250,24578,0,0,"2011-12","1",20110425,0,1,0,0,2010,3.22,"1",-2,-2,-2,"0","1","1","0","0","0.166666666666667","0.166666666666667",21.0434333333333,0,-2,3.19,3.19,"1"
"56","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110825,0,0,0,1,2016,1,"1",-2,-2,-2,"0","0","0","0","0","-2","-2",0,0,-2,3.5,3.5,"1"
"57","1","Single",17850,92728,"High School","College","With Parent",0,0,0,0,"2011-12","1",20110531,0,0,0,1,2016,1,"2",69,70,1,"2","0","0","0","0","-2","-2",52.0301,0.888888888888889,4.00334444444444,2.94444444444444,2.94444444444444,"0"
"58","1","Single",0,92002,"High School","High School","With Parent",5500,750,0,0,"2011-12","1",20110823,0,1,0,0,2016,2.58,"1",-2,-2,-2,"0","1","1","0","1","0","0",26.0101,0,-2,1.05,1.05,"1"
"59","1","Single",0,9365,"High School","Middle School","Off Campus",0,2082,0,0,"2011-12","1",20110825,0,1,0,0,2016,1,"1",-2,-2,-2,"0","0","0","0","0","-2","-2",45.0601,0,-2,2.56,2.56,"1"
"60","1","Single",1,1,"High School","High School","Off Campus",40342,0,0,0,"2011-12","1",20110825,0,0,0,1,2016,1,"2",52,52,1,"0","0","0","0","0","-2","-2",52.0201,0.533333333333333,1.60134,2.614,2.614,"1"
"61","1","Single",11713,10126,"High School","High School","With Parent",5750,17493,0,0,"2011-12","1",20110516,0,0,0,0,2008,1,"2",68,66,1,"0","0","0","0","0","-2","-2",43.0199,1.6,7.00398,2.988,2.988,"0"
"62","1","Single",0,87501,"High School","High School","Off Campus",40000,0,0,0,"2011-12","1",20110808,0,0,0,0,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2432333333333,2.66666666666667,15.7966333333333,3.18333333333333,3.18333333333333,"0"
"63","1","Single",17959,0,"High School","Unknown","With Parent",11750,16755,0,0,"2011-12","1",20110824,0,0,0,1,2016,1,"2",64,64,1,"2","0","0","0","0","-2","-2",52.0801,1.33333333333333,7.01335,3.36166666666667,3.36166666666667,"0"
"64","1","Single",0,41791,"High School","High School","On Campus Housing",12400,9824,0,0,"2011-12","1",20110607,1,0,0,0,2010,1,"1",-2,-2,-2,"0","1","1","0","0","0","1",43.0199,0,-2,2.635,2.635,"1"
"65","1","Single",0,22606,"College","College","With Parent",25000,58581,0,0,"2011-12","1",20110606,0,0,0,1,2016,1,"1",-2,-2,-2,"0","1","1","0","1","0.166666666666667","0",43.0299,0.666666666666667,1.75165833333333,2.43666666666667,2.43666666666667,"0"
"66","1","Single",0,42799,"High School","High School","On Campus Housing",0,5794,0,0,"2011-12","1",20110803,0,1,0,0,2010,3.29,"1",-2,-2,-2,"0","1","1","0","0","0","0",0,0,-2,2.33,2.33,"1"
"67","1","Single",16143,0,"College","High School","With Parent",14750,8200,0,0,"2011-12","1",20110822,0,0,0,1,2016,1,"2",66,65,1,"2","0","0","0","0","-2","-2",43.0399,2,9.259975,3.9925,3.9925,"0"
"68","1","Single",32168,0,"Unknown","Unknown","Off Campus",28500,0,0,0,"2011-12","1",20110718,0,0,0,0,2016,1,"2",83,66,1,"2","0","0","0","0","-2","-2",43.0332333333333,1.33333333333333,5.50665,3.64333333333333,3.64333333333333,"0"
"69","1","Single",3298,32080,"Unknown","High School","Off Campus",30500,12712,10000,0,"2011-12","1",20110412,1,0,0,0,2016,1,"2",90,69,1,"2","0","0","0","0","-2","-2",34.4700333333333,0.888888888888889,3.93221111111111,3.97111111111111,3.97111111111111,"0"
"70","1","Single",0,25683,"College","High School","With Parent",23500,18373,0,0,"2011-12","1",20110620,0,0,0,0,2011,2.99,"1",-2,-2,-2,"0","0","1","0","0","-2","0.375",52.0301,0,-2,2.34,2.34,"1"
"71","1","Single",5448,12589,"College","High School","On Campus Housing",36700,32882,0,3142,"2011-12","1",20110601,0,1,0,0,2011,1,"1",-2,-2,-2,"0","1","1","0","0","0.3","0.1",35.09007,0,-2,2.425,2.425,"1"
"72","1","Married",65077,0,"High School","High School","Off Campus",3750,1088,0,0,"2011-12","1",20110627,0,0,0,0,2016,1,"2",82,57,1,"0","0","0","0","0","-2","-2",51.36006,0,-2,3.213,3.213,"1"
"73","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110808,0,0,0,1,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2432333333333,2.66666666666667,15.7966333333333,3.68,3.68,"0"
"74","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110728,0,0,0,1,2016,1,"2",0,0,1,"0","0","0","0","0","-2","-2",51.2799,4,24.69495,3.95,3.95,"0"
"75","1","Single",11884,14251,"High School","High School","On Campus Housing",13750,14487,0,0,"2011-12","1",20110816,1,0,0,0,2016,1,"2",0,0,1,"2","0","0","0","0","-2","-2",0,1.16666666666667,1.01508333333333,2.89333333333333,2.89333333333333,"0"
"76","1","Single",0,12372,"High School","Unknown","Off Campus",0,17783,0,0,"2011-12","1",20110803,1,0,0,0,2011,1,"1",-2,-2,-2,"0","1","1","0","1","0.333333333333333","0",0,0,-2,2.78333333333333,2.78333333333333,"1"
"77","1","Single",0,0,"College","Middle School","With Parent",5500,56788,11000,0,"2011-12","1",20110427,1,0,0,0,2016,3.5,"1",-2,-2,-2,"0","0","1","0","0","-2","0.1",18.20707,0.7,0.80101,3.339,3.339,"0"
"78","1","Single",489,15810,"College","High School","Off Campus",9350,47872,0,3000,"2011-12","1",20110707,0,0,0,0,2016,2.8,"1",-2,-2,-2,"0","1","1","0","0","0.0909090909090909","0.0909090909090909",52.0301,0.727272727272727,2.91182727272727,3.03636363636364,3.03636363636364,"0"
"79","1","Single",0,56611,"High School","Middle School","Off Campus",3560,3731,0,0,"2011-12","1",20110706,0,1,0,0,2011,2.6,"1",-2,-2,-2,"0","1","1","0","0","0.5","0.5",26.0101,0,-2,1.005,1.005,"1"
"80","1","Single",11967,112784,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110608,0,0,0,1,2016,1,"2",68,63,1,"2","0","0","0","0","-2","-2",52.0301,2,11.507525,3.2125,3.2125,"0"
"81","1","Single",0,0,"Middle School","High School","With Parent",1750,2775,0,0,"2011-12","1",20110418,1,0,0,0,2016,1,"2",12,62,1,"0","0","0","0","0","-2","-2",54.0101,0,-2,2.78,2.78,"1"
"82","1","Single",0,13048,"High School","Middle School","With Parent",28750,46781,0,0,"2011-12","1",20110502,1,0,0,0,2016,1,"1",-2,-2,-2,"0","1","1","0","1","0.0714285714285714","0",26.0101,0,-2,3.00357142857143,3.00357142857143,"0"
"83","1","Single",13693,0,"College","High School","With Parent",7500,5806,0,0,"2011-12","1",20110829,0,1,0,0,2016,1,"2",75.5,66,1,"2","0","0","0","0","-2","-2",17.7506333333333,0,-2,2.51333333333333,2.51333333333333,"1"
"84","1","Single",0,34666,"Unknown","College","With Parent",40500,29414,0,0,"2011-12","1",20110802,0,1,0,0,2011,1.5,"1",-2,-2,-2,"0","1","1","0","0","0.166666666666667","0.0833333333333333",10.502525,0.583333333333333,1.66750833333333,2.4125,2.4125,"0"
"85","1","Single",0,25811,"Unknown","Unknown","On Campus Housing",67500,69709,0,3290,"2011-12","1",20110606,0,1,0,0,2011,1,"1",-2,-2,-2,"0","1","1","0","0","0.166666666666667","0.0833333333333333",43.2976,0,-2,2.425,2.425,"0"
"86","1","Single",54031,0,"College","College","Off Campus",32764,0,0,0,"2011-12","1",20110825,0,0,0,1,2016,1,"2",63,63,1,"2","0","0","0","0","-2","-2",52.0801,0.888888888888889,4.0089,3.21111111111111,3.21111111111111,"0"
"87","1","Married",80594,0,"Middle School","College","Off Campus",31500,8597,14340,0,"2011-12","1",20110802,1,0,0,0,2016,1,"2",65,65,1,"2","0","0","0","0","-2","-2",42.3272714285714,0,-2,3.74,3.74,"1"
"88","1","Single",0,48281,"High School","High School","Off Campus",0,1900,0,0,"2011-12","1",20110428,1,0,0,0,2016,1,"2",52,66,1,"0","0","0","0","0","-2","-2",43.0203,0,-2,3.725,3.725,"1"
"89","1","Single",0,161373,"High School","College","With Parent",3500,0,0,0,"2011-12","1",20110420,1,0,0,0,2011,3,"1",-2,-2,-2,"0","1","1","0","0","0","0.333333333333333",43.0199,0,-2,2.69,2.69,"1"
"90","1","Single",12580,17508,"College","Middle School","With Parent",5200,41699,0,0,"2011-12","1",20110606,0,0,0,1,2011,1,"1",-2,-2,-2,"0","1","0","0","1","0.125","-2",20.06515,0,-2,3.10875,3.10875,"1"
"91","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110825,0,1,0,0,2016,1,"2",65,54,1,"0","0","0","0","0","-2","-2",9.0101,0,-2,3.7,3.7,"1"
"92","1","Single",9110,73176,"High School","College","With Parent",0,0,3000,0,"2011-12","1",20110804,0,0,0,1,2016,1,"2",107,72,1,"2","0","0","0","0","-2","-2",51.3801,1.6,8.67602,3.986,3.986,"0"
"93","1","Single",29209,124000,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110412,0,0,0,1,2010,3.29,"1",-2,-2,-2,"0","1","1","0","0","1","1",43.0399,0,-2,1.91,1.91,"1"
"94","1","Single",0,130000,"College","College","With Parent",5500,10442,0,0,"2011-12","1",20110810,1,0,0,0,2016,1,"2",55,44,1,"0","0","0","1","0","-2","-2",48.60909,0.7,3.60101,3.447,3.447,"0"
"95","1","Single",0,52506,"College","College","Off Campus",54500,21698,2000,2000,"2011-12","1",20110901,0,1,0,0,2016,2.6,"1",-2,-2,-2,"0","1","1","0","0","0.0909090909090909","0.0909090909090909",46.5601,0.727272727272727,2.91091818181818,3.31363636363636,3.31363636363636,"0"
"96","1","Single",0,26612,"College","High School","With Parent",0,14015,0,0,"2011-12","1",20110720,1,0,0,0,2010,2.4,"1",-2,-2,-2,"0","1","1","0","0","0.25","0.25",12.75,0,-2,2.94,2.94,"1"
"97","1","Single",0,87230,"College","College","With Parent",0,0,24000,0,"2011-12","1",20110502,0,0,0,0,2010,1,"1",-2,-2,-2,"0","0","1","0","0","-2","0.1",5.50505,0.8,-0.69899,3.903,3.903,"0"
"98","1","Separated",0,0,"College","Middle School","Off Campus",48600,8640,0,0,"2011-12","1",20110706,1,0,0,0,2016,1,"2",120,66,1,"0","0","0","0","0","-2","-2",51,0.888888888888889,3.88888888888889,3.07,3.07,"0"
"99","1","Married",141564,0,"Unknown","Unknown","Off Campus",0,0,0,0,"2011-12","1",20110531,0,0,0,0,2016,1,"2",56,66,1,"0","0","0","0","0","-2","-2",52.0281,1.6,8.80402,3.41,3.41,"0"
"100","1","Single",1,1,"High School","High School","Off Campus",0,6790,0,0,"2011-12","1",20110329,0,0,0,1,2016,1,"2",61,64,1,"2","0","0","0","0","-2","-2",43.0199,1,3.6274875,3.5,3.5,"0"
"101","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110613,0,1,0,0,2016,1,"2",65,65,1,"2","0","0","0","0","-2","-2",23.3389444444444,0.777777777777778,2.89001111111111,2.65,2.65,"0"
"102","1","Single",30972,0,"College","College","With Parent",35500,0,0,0,"2011-12","1",20110824,0,0,0,0,2016,1,"2",140,70,1,"2","0","0","0","0","-2","-2",52.0801,0,-2,2.94,2.94,"1"
"103","1","Single",25308,0,"College","High School","Off Campus",14750,0,0,0,"2011-12","1",20110901,0,1,0,0,2016,1,"2",68,53,1,"0","0","0","1","0","-2","-2",52.1401,0,-2,1.28,1.28,"1"
"104","1","Single",2000,0,"College","College","Off Campus",30000,15358,0,0,"2011-12","1",20110425,1,0,0,0,2016,1,"2",83,70,1,"0","0","0","0","0","-2","-2",52.02885,1,4.7537625,2.86875,2.86875,"0"
"105","1","Single",0,24859,"High School","Unknown","With Parent",6500,22001,9019.5,0,"2011-12","1",20110817,0,1,0,0,2016,1,"2",24,12,1,"0","0","0","0","0","-2","-2",26.0101,0,-2,1.84,1.84,"1"
"106","1","Single",1,1,"High School","High School","Off Campus",0,0,0,0,"2011-12","1",20110906,0,0,0,1,2016,1,"2",0,0,1,"2","0","0","0","0","-2","-2",34.2534,0,-2,3.92,3.92,"1"
"107","1","Single",4000,90000,"High School","High School","On Campus Housing",38500,0,1000,0,"2011-12","1",20110817,0,1,0,0,2016,1,"2",22,22,1,"0","0","0","1","0","-2","-2",51.2266888888889,0.888888888888889,3.88888888888889,3.51111111111111,3.51111111111111,"0"
"108","1","Married",71507,0,"College","College","Off Campus",0,0,0,0,"2011-12","1",20110725,1,0,0,0,2016,1,"2",11,18,1,"0","0","0","0","0","-2","-2",13.1202,0,-2,3.32333333333333,3.32333333333333,"1"
"109","1","Single",0,77268,"High School","College","On Campus Housing",9500,0,0,2000,"2011-12","1",20110502,0,1,0,0,2011,2.5,"1",-2,-2,-2,"0","1","1","0","0","0.5","0.5",52.0801,0,-2,3.605,3.605,"1"
"110","1","Single",38512,0,"Unknown","Middle School","Off Campus",9500,4700,3000,0,"2011-12","1",20110419,1,0,0,0,2016,1,"2",93,83,1,"2","0","0","0","0","-2","-2",51.3801,2.66666666666667,15.7933666666667,3.92666666666667,3.92666666666667,"0"
"111","1","Single",16173,55611,"College","College","Off Campus",21750,0,0,0,"2011-12","1",20110907,0,1,0,0,2016,1,"2",51,43,1,"0","0","0","0","0","-2","-2",43.0199,1,3.6274875,2.84,2.84,"0"
"112","1","Single",4764,8588,"Unknown","Middle School","On Campus Housing",9400,12988,0,2000,"2011-12","1",20110608,1,0,0,0,2011,2,"1",-2,-2,-2,"0","1","1","0","1","1","0",0,0,-2,2.155,2.155,"1"
"113","1","Single",6158,99709,"High School","College","With Parent",77437,0,250,2000,"2011-12","1",20110801,0,0,0,1,2016,1,"2",48,40,1,"0","0","0","0","0","-2","-2",42.0101,0.875,3.5012625,3.29125,3.29125,"0"
